Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
03-Jul-15,308,308,299.75,300.95,302.7081797,499554,6430,151219082,118810,23.78,8.25,-7.05
06-Jul-15,294.9,299.6,292.3,298.75,295.6463382,663354,9184,196118181,117663,17.74,7.3,3.85
07-Jul-15,300.75,303.25,296,297.45,299.4776911,877207,8581,262703927,211277,24.09,7.25,-3.3
08-Jul-15,293.8,294,282,283.4,286.8751048,1446189,20272,414875621,563505,38.96,12,-10.4
09-Jul-15,285.2,287.25,279.6,280.55,282.860975,974983,13946,275784642,330248,33.87,7.65,-4.65
10-Jul-15,282,284.6,279,280.95,281.4063217,702436,9268,197669931,135447,19.28,5.6,-1.05
13-Jul-15,281.9,285.6,279.15,284.45,282.9054475,658957,8413,186422525,136197,20.67,6.45,2.55
14-Jul-15,285,286.9,281.05,281.7,283.2753122,561904,7309,159173531,140665,25.03,5.85,-3.3
15-Jul-15,283,284.9,279.4,280.7,281.9298044,564323,7346,159099473,139267,24.68,5.5,-2.3
16-Jul-15,285,286.75,280.6,281.5,282.7526205,932539,10996,263677846,230537,24.72,6.15,-3.5
17-Jul-15,282,286.45,280.3,284.3,283.9879889,919068,11294,261004273,188465,20.51,6.15,2.3
20-Jul-15,285.9,287.7,283.1,284,284.9819885,546039,6748,155611280,142111,26.03,4.6,-1.9
21-Jul-15,284.35,284.5,274,274.65,277.128136,1010988,11736,280173220,371483,36.74,10.5,-9.7
22-Jul-15,272,281,268.5,280.35,275.7202937,842541,11848,232305652,170238,20.21,12.5,8.35
23-Jul-15,274,274.5,269.8,270.3,271.607863,869158,10244,236070147,268087,30.84,4.7,-3.7
24-Jul-15,272.9,272.9,264.05,265.1,267.9697076,729622,9444,195516594,233264,31.97,8.85,-7.8
27-Jul-15,265,265,250.75,251.4,255.0430271,1428378,17406,364297849,528015,36.97,14.25,-13.6
28-Jul-15,251.25,252.4,246.65,249.35,249.5999305,1073791,11129,268018159,244677,22.79,5.75,-1.9
29-Jul-15,251.9,254.65,249.5,250.65,251.5541624,687885,7866,173040335,162182,23.58,5.15,-1.25
30-Jul-15,252.4,252.8,247.7,248.35,250.0284484,772451,7587,193134725,161433,20.9,5.1,-4.05
31-Jul-15,249.5,252.65,245.25,247.3,249.9683445,1095008,10619,273717337,294714,26.91,7.4,-2.2
03-Aug-15,247.3,250.7,245.45,248,248.0519375,805564,8373,199821711,207081,25.71,5.25,0.7
04-Aug-15,249,259.85,246.15,256.4,252.0378214,1994030,19027,502570977,483871,24.27,13.7,7.4
05-Aug-15,260,268.2,259,262.25,264.8417368,1334998,15447,353563189,278383,20.85,9.2,2.25
06-Aug-15,262.25,265.45,256.5,261.3,261.7388569,920212,10960,240855237,138187,15.02,8.95,-0.95
07-Aug-15,261,264.7,260.15,262.05,262.4150503,621156,7195,163000683,121083,19.49,4.55,1.05
10-Aug-15,263,264.85,260,261.15,262.4154286,666644,7247,174937671,152472,22.87,4.85,-1.85
11-Aug-15,260,260,246,246.9,251.4153847,1573019,15399,395481177,494505,31.44,14,-13.1
12-Aug-15,254,257.9,246.25,249.1,251.9660999,2926040,31086,737262887,557214,19.04,11.65,-4.9
13-Aug-15,252.5,254,232.3,233.6,239.7123708,2702271,29965,647767788,810378,29.99,21.7,-18.9
14-Aug-15,234.6,239.1,229.25,237.1,234.5198706,1798515,18317,421787505,290421,16.15,9.85,2.5
17-Aug-15,238.1,248,234.4,246.55,242.3955385,1643107,18172,398281806,277205,16.87,13.6,8.45
18-Aug-15,247.95,254.4,246.85,251.65,251.1629399,1872328,18771,470259405,357207,19.08,7.55,3.7
19-Aug-15,251,253,246.75,249.9,250.2994962,1100802,10719,275530186,271284,24.64,6.25,-1.1
20-Aug-15,248.05,248.7,240.75,241.65,243.3668042,1068341,10855,259998735,185667,17.38,7.95,-6.4
21-Aug-15,238,238.2,231.6,237.25,235.018789,1438498,13299,338074058,262839,18.27,6.6,-0.75
24-Aug-15,230,230.9,202.7,206.15,218.2504554,3304580,33119,721226090,1216710,36.82,28.2,-23.85
25-Aug-15,208,218,200.4,214.15,209.6565454,2622801,26250,549887397,536032,20.44,17.6,6.15
26-Aug-15,214,219.6,209.05,215.5,213.7138092,1581868,15728,338067036,287959,18.2,10.55,1.5
